platform,item_category,brand,condition,final_sale_price,original_list_price,days_to_sale,listing_day_of_week,listing_time,sold_date,title,item_id,image_url
eBay,denim jacket,Unknown,Like New,30.0,30.0,,Wednesday,22:35,2026-04-01,Disney Mickey Mouse Girls Blue Denim Jacket 2T Graphic Print Button Pockets,v1|389833024527|0,https://i.ebayimg.com/images/g/70gAAeSwXZ5pzZ12/s-l225.jpg
eBay,denim jacket,Unknown,New,144.89,144.89,,Wednesday,22:35,2026-04-01,Harley Davidson Women's 2023 Bar & Shield Indigo Blue Denim Jacket Size Large L ,v1|137149682728|0,https://i.ebayimg.com/images/g/tV8AAeSwtiBpuKRT/s-l225.jpg
eBay,denim jacket,Unknown,Like New,15.0,15.0,,Wednesday,22:34,2026-04-01,Shyanne XXL Black Bandana Print Denim Jacket Western Jean Trucker Coat,v1|227282903849|0,https://i.ebayimg.com/images/g/fjsAAeSwvwppzZ2I/s-l225.jpg
eBay,denim jacket,Unknown,Like New,75.0,75.0,,Wednesday,22:34,2026-04-01,Jean-Paul Germain Paris Men's 50L Charcoal Gray Wool Cashmere Long Overcoat Coat,v1|236730065073|0,https://i.ebayimg.com/images/g/mNEAAeSwZJxpzZxc/s-l225.jpg
eBay,denim jacket,Unknown,Like New,319.1,319.1,,Wednesday,22:34,2026-04-01,Olive de Olive Hoodie Denim Loose Fit Jacket YJ6SJ608 Official,v1|306856010476|606735072105,https://i.ebayimg.com/images/g/KzEAAeSwhhhpzZ4b/s-l225.jpg
eBay,denim jacket,Unknown,Good,95.99,95.99,,Wednesday,22:34,2026-04-01,Vintage 80s Levi’s Denim Blanket Lined Jacket Distressed Faded Size Large,v1|127785950989|0,https://i.ebayimg.com/images/g/WWoAAeSwIXFpzZuJ/s-l225.jpg
eBay,denim jacket,Unknown,Like New,19.99,19.99,,Wednesday,22:34,2026-04-01,Pure Playaz Denim Jacket Mens Size XXL Jean Jacket Vtg Y2K Hip Hop Street Wear,v1|198246917890|0,https://i.ebayimg.com/images/g/cqcAAeSwTIlpzZ0k/s-l225.jpg
eBay,denim jacket,Unknown,New,60.0,60.0,,Wednesday,22:33,2026-04-01,Blank NYC Off-White Denim Jacket,v1|227282903150|0,https://i.ebayimg.com/images/g/StoAAeSwT7xppNPk/s-l225.jpg
eBay,denim jacket,Unknown,Like New,35.0,35.0,,Wednesday,22:33,2026-04-01,Harley Davidson Jacket Mens Extra Large Blue Denim Snap Embroidered Skull,v1|178014031227|0,https://i.ebayimg.com/images/g/1PEAAeSw~U5pwCek/s-l225.jpg
eBay,denim jacket,Unknown,Like New,19.99,19.99,,Wednesday,22:33,2026-04-01,The Limited Blue Denim Blazer Womens Size M J11H6293 Single Button Lined Jacket,v1|168279857340|0,https://i.ebayimg.com/images/g/XoAAAeSwoNZpzZ1H/s-l225.jpg
eBay,denim jacket,Gap,Like New,924.99,924.99,,Wednesday,22:33,2026-04-01,Womens GAP Cinched Blue Denim Jacket Size Large EUC,v1|267626770670|0,https://i.ebayimg.com/images/g/VmgAAeSwEeppzZyl/s-l225.jpg
eBay,denim jacket,Banana Republic,New,39.99,39.99,,Wednesday,22:33,2026-04-01,Banana Republic Light Crop Off White Denim Jacket Sz M,v1|406821317091|0,https://i.ebayimg.com/images/g/PyAAAeSw9ChpzZzu/s-l225.jpg
eBay,denim jacket,Steve Madden,New,65.0,65.0,,Wednesday,22:32,2026-04-01,NWT Steve Madden X revolve Short Denim Trench Jacket Blue Denim Large,v1|397789936887|0,https://i.ebayimg.com/images/g/lRAAAOSwpiVnKvpU/s-l225.jpg
eBay,denim jacket,Unknown,Like New,175.0,175.0,,Wednesday,22:32,2026-04-01,Vintage 1980'sLevi’s Type 3 Blue Denim Sherpa Jacket 71605 Men's Sz 44r ~ USA,v1|358399795889|0,https://i.ebayimg.com/images/g/W7EAAeSwdQBpzZnb/s-l225.jpg
eBay,denim jacket,Gap,Like New,12.85,12.85,,Wednesday,22:32,2026-04-01,Gap Denim Jacket Girls Size XS Blue Jean Buttons Artsy Cat Meow Long Sleeve EUC,v1|397789932644|0,https://i.ebayimg.com/images/g/ydIAAeSwb8lot7yj/s-l225.jpg
eBay,denim jacket,Unknown,Like New,10.0,10.0,,Wednesday,22:31,2026-04-01,Girls Beaded Snoopy Peanuts Denim Jacket Cropped Size 6 365 Kids,v1|127785948512|0,https://i.ebayimg.com/images/g/hyUAAeSwBo9pzZ2P/s-l225.jpg
eBay,denim jacket,Gap,Like New,13.95,13.95,,Wednesday,22:31,2026-04-01,Gap Kids Girls Jean Jacket Sz L Blue Denim Fall Layering Classic Basic Capsule,v1|358399795414|0,https://i.ebayimg.com/images/g/CtQAAeSwGGtoNJ3u/s-l225.jpg
eBay,denim jacket,Unknown,Good,12.19,12.19,,Wednesday,22:30,2026-04-01,VITAMINA Denim Jean Jacket Dark Blue Wash Button Front w/ Flap Pockets Size M,v1|257438083019|0,https://i.ebayimg.com/images/g/gNQAAOSw4oVlcM16/s-l225.jpg
eBay,denim jacket,Unknown,Good,12.5,12.5,,Wednesday,22:30,2026-04-01,Maurices Medium Denim Cropped Lightly Distressed Jacket,v1|206183393260|0,https://i.ebayimg.com/images/g/xNcAAeSwDv9pWCqY/s-l225.jpg
eBay,denim jacket,Unknown,Good,30.94,30.94,,Wednesday,22:30,2026-04-01,Fashion Nova Distressed Light Blue Denim Jacket With Button Closure Size Men’s S,v1|406821313874|0,https://i.ebayimg.com/images/g/6XUAAeSwAs1pF0D1/s-l225.jpg
eBay,denim jacket,Zara,New,39.99,39.99,,Wednesday,22:29,2026-04-01,Zara Women’s Distressed Denim Shacket Size Small Medium,v1|127785946262|0,https://i.ebayimg.com/images/g/g-gAAeSw-yZns7~q/s-l225.jpg
eBay,denim jacket,Unknown,Good,42.98,42.98,,Wednesday,22:29,2026-04-01,Vintage y2k Blue Denim Faux Fur Trim Afghan Penny Lane Coat Indie Sleaze Size S,v1|147235992194|0,https://i.ebayimg.com/images/g/UEQAAeSwLM5pzZ0x/s-l225.jpg
eBay,denim jacket,Unknown,New,20.0,20.0,,Wednesday,22:29,2026-04-01,Mudpie Women's Light Blue Button Front Mid-Length Jacket XL Long Sleeve,v1|318092230852|0,https://i.ebayimg.com/images/g/RYMAAeSwZbVpzZwD/s-l225.jpg
eBay,denim jacket,Unknown,Good,42.99,42.99,,Wednesday,22:28,2026-04-01,Woman Within Jacket Barn Coat 14/16 Women's Plus Size Flannel Lined House Chore,v1|277855983433|0,https://i.ebayimg.com/images/g/c1AAAeSwKRlpK7EF/s-l225.jpg
eBay,denim jacket,Unknown,Like New,64.97,64.97,,Wednesday,22:28,2026-04-01,The Rolling Stones Acid Wash Denim Jacket – M Blue 2019 READ,v1|188234654519|0,https://i.ebayimg.com/images/g/Y-gAAeSwulFppNHW/s-l225.jpg
eBay,denim jacket,Unknown,Good,12.45,12.45,,Wednesday,22:27,2026-04-01,Old Navy Dark Wash Denim Cotton LS Jean Jacket with Stretch size M,v1|168279847093|0,https://i.ebayimg.com/images/g/~y4AAOSwqnVkz7g8/s-l225.jpg
eBay,denim jacket,Unknown,New,24.99,24.99,,Wednesday,22:27,2026-04-01,Jessica London Woman’s Size 18 W Black Denim 100% Cotton Jacket,v1|127785941168|0,https://i.ebayimg.com/images/g/MTkAAOSwbJ9jPg5Z/s-l225.jpg
eBay,denim jacket,Unknown,Like New,20.0,20.0,,Wednesday,22:27,2026-04-01,Croft & Barrow Dark Blue Denim Jacket Stretch Women's XL Button Pockets Casual,v1|168279846642|0,https://i.ebayimg.com/images/g/FQkAAeSwZJ9pzZuG/s-l225.jpg
eBay,denim jacket,Unknown,Good,40.0,40.0,,Wednesday,22:27,2026-04-01,Ll Bean Denim Lined Jacket Men Small,v1|236730053810|0,https://i.ebayimg.com/images/g/LU0AAeSwucRpzVRh/s-l225.jpg
eBay,denim jacket,Unknown,Like New,85.0,85.0,,Wednesday,22:26,2026-04-01,Custom upcycled patchwork denim jacket,v1|117120725899|0,https://i.ebayimg.com/images/g/jYsAAeSwOchpzZwQ/s-l225.jpg
eBay,denim jacket,Unknown,Good,59.99,59.99,,Wednesday,22:26,2026-04-01,80s VINTAGE Hank Williams Jr Denim Trucker Jacket Size Large RARE Outlaw Country,v1|287247595000|0,https://i.ebayimg.com/images/g/tVUAAeSwnjxpzZsn/s-l225.jpg
eBay,denim jacket,Unknown,New,25.5,25.5,,Wednesday,22:25,2026-04-01,Ruby Rd Denim Jacket Studded Collar Zip 3/4 Sleeve Pleated Olive Green 8 Petite,v1|397789910463|0,https://i.ebayimg.com/images/g/busAAeSwfnBpVwl6/s-l225.jpg
eBay,denim jacket,Gap,Like New,34.97,34.97,,Wednesday,22:25,2026-04-01,GAP Utility Safari Jacket – 2 Cream Cotton Denim 395360-00,v1|188234649543|0,https://i.ebayimg.com/images/g/gBsAAeSwJ4NppNHV/s-l225.jpg
eBay,denim jacket,Unknown,Like New,29.0,29.0,,Wednesday,22:24,2026-04-01,Cathy Daniels Studded Denim Jacket Womens M Stretch Western Zip Blue Embellished,v1|168279842544|0,https://i.ebayimg.com/images/g/~hoAAeSwK6JpzZo8/s-l225.jpg
eBay,denim jacket,Levi's,Like New,50.0,50.0,,Wednesday,22:24,2026-04-01,"Levi's Women's Trucker Jean Jacket Size Medium, Medium Wash",v1|389832986065|0,https://i.ebayimg.com/images/g/UXAAAeSwXBNpzZpB/s-l225.jpg
eBay,denim jacket,Unknown,Like New,24.99,24.99,,Wednesday,22:23,2026-04-01,Vintage Denim & Co Boho Floral COUNTRY Ruffle Denim Button Front Jacket XL,v1|117120721995|0,https://i.ebayimg.com/images/g/h7kAAeSw5o1pzZoh/s-l225.jpg
eBay,denim jacket,Unknown,New,19.99,19.99,,Wednesday,22:23,2026-04-01,Christopher & banks Top L Chambray Jacket Top Blue Button Flip Cuff Denim,v1|227282893741|0,https://i.ebayimg.com/images/g/tskAAOSwz4JlVUS4/s-l225.jpg
eBay,denim jacket,Tommy Hilfiger,Fair,21.15,21.15,,Wednesday,22:23,2026-04-01,Tommy Hilfiger Denim Down Jacket Puffer Navy Blue Men's L READ DESC Y2k 2006,v1|188234647431|0,https://i.ebayimg.com/images/g/tp8AAeSwv6xpWBg7/s-l225.jpg
eBay,denim jacket,Unknown,Good,27.99,27.99,,Wednesday,22:23,2026-04-01,Vintage Y2K Live a Little Denim Jacket Women's L Blue Button Up Retro Grunge,v1|168279839494|0,https://i.ebayimg.com/images/g/2DIAAeSw59BpzYst/s-l225.jpg
